line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,17838.0,-10011.0,17865.0,-59692.0,-1449.0,18531.0,-887.0,6210.0,-21354.0,-6274.0,34892.0,33426.0
Cash from Investing Activity,-556.0,-4005.0,-551.0,-414.0,-2537.0,-139.0,-471.0,-3645.0,-1096.0,-1285.0,-6494.0,-3275.0
Cash from Financing Activity,-6.0,-616.0,-198.0,3413.0,4449.0,14729.0,-986.0,-998.0,-5405.0,5476.0,3790.0,-1806.0
Net Cash Flow,17276.0,-14632.0,17116.0,-56692.0,462.0,33120.0,-2344.0,1567.0,-27855.0,-2084.0,32188.0,28345.0
Free Cash Flow,17282.0,-14016.0,17314.0,-60105.0,-3986.0,18393.0,-1146.0,2805.0,-22140.0,-7153.0,28979.0,31911.0
CFO/OP,57.0,-56.0,66.0,-304.0,11.0,49.0,12.0,20.0,-28.0,3.0,54.0,44.0
