line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,79.86,79.86,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84,73.84
FIIs,4.0,4.33,5.89,5.29,5.38,4.99,4.78,4.74,4.54,4.68,5.64,5.82
DIIs,11.57,11.76,15.84,16.95,16.87,17.35,17.64,17.78,18.05,18.62,17.82,17.75
Public,4.58,4.05,4.44,3.93,3.9,3.82,3.75,3.65,3.56,2.86,2.71,2.58
No. of Shareholders,314186.0,306649.0,312770.0,308165.0,321712.0,325449.0,319705.0,317481.0,331904.0,316207.0,325219.0,319897.0
