line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,83.49,76.99,76.99,74.76,74.76,74.76,74.76,74.76,74.76,74.76,74.76,74.76
FIIs,1.46,2.89,3.97,6.75,7.37,6.89,6.46,7.11,7.7,7.86,8.14,9.37
DIIs,7.88,12.69,12.28,12.24,11.38,11.22,11.94,11.63,11.93,11.7,11.91,11.51
Public,7.17,7.42,6.76,6.25,6.5,7.12,6.85,6.5,5.6,5.67,5.21,4.36
No. of Shareholders,775773.0,865251.0,874309.0,914940.0,984229.0,1019061.0,1022300.0,1041211.0,961173.0,955839.0,920603.0,907910.0
