line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,95.39,95.39,95.39,95.39,95.39,95.39,95.39,90.95,90.95,90.95,90.95,90.95
FIIs,0.05,0.09,0.01,0.03,0.03,0.02,0.02,0.44,0.13,0.13,0.13,0.08
DIIs,1.35,1.36,1.32,1.32,1.32,1.32,1.33,5.36,4.74,4.52,4.42,4.39
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
Public,3.2,3.14,3.27,3.26,3.26,3.25,3.25,3.26,4.17,4.38,4.49,4.58
No. of Shareholders,537686.0,583242.0,610166.0,739097.0,778049.0,773466.0,791271.0,799014.0,843992.0,850102.0,849729.0,849084.0
