line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,86.46,86.46,86.46,86.46,86.46,86.46,79.6,79.6,79.6,79.6,73.6,73.6
FIIs,0.68,0.59,0.45,1.04,1.2,1.26,1.54,1.72,1.89,2.35,4.92,5.55
DIIs,6.43,5.17,4.71,4.68,4.58,4.46,10.88,10.67,10.4,10.06,13.5,13.93
Public,6.42,7.76,8.37,7.8,7.75,7.81,7.99,8.0,8.11,8.0,7.97,6.93
No. of Shareholders,453524.0,606046.0,677087.0,846746.0,919663.0,948432.0,995543.0,1006265.0,991930.0,974484.0,952775.0,901410.0
