line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-3567.0,81.0,-6624.0,6097.0,-7778.0,-7681.0,20527.0,36339.0,6056.0,19930.0,17479.0,-35798.0
Cash from Investing Activity,-318.0,-9.0,-280.0,-315.0,-297.0,-377.0,-601.0,-558.0,-2561.0,-1394.0,-1891.0,-7075.0
Cash from Financing Activity,3168.0,-2.0,10194.0,10792.0,1758.0,20144.0,-18861.0,-786.0,-10654.0,-11489.0,-3550.0,7729.0
Net Cash Flow,-718.0,70.0,3289.0,16574.0,-6317.0,12086.0,1066.0,34995.0,-7159.0,7047.0,12038.0,-35145.0
Free Cash Flow,-3909.0,72.0,-6911.0,5782.0,-8076.0,-8058.0,19926.0,35897.0,3673.0,18624.0,15832.0,-38831.0
CFO/OP,-13.0,0.0,-27.0,74.0,-45.0,-55.0,63.0,103.0,21.0,34.0,25.0,-49.0
