line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,14638.0,18311.0,-6624.0,-7366.0,-9218.0,-4827.0,37868.0,-35487.0,-7045.0,-4437.0,18534.0,4753.0
Cash from Investing Activity,-755.0,-609.0,-371.0,-260.0,71.0,-232.0,-182.0,-644.0,-521.0,-991.0,-854.0,-329.0
Cash from Financing Activity,1295.0,4864.0,3955.0,7185.0,7983.0,-3192.0,2398.0,1146.0,541.0,3868.0,34.0,-5672.0
Net Cash Flow,15179.0,22566.0,-3040.0,-440.0,-1164.0,-8251.0,40085.0,-34985.0,-7026.0,-1560.0,17714.0,-1248.0
Free Cash Flow,14066.0,17814.0,-6910.0,-7620.0,-9090.0,-5184.0,37538.0,-36035.0,-7569.0,-5264.0,17861.0,3907.0
CFO/OP,52.0,84.0,-42.0,-43.0,-41.0,-24.0,160.0,-159.0,-28.0,-13.0,37.0,9.0
