line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,81.41,81.41,73.38,73.38,73.38,73.38,73.38,73.38,73.38,73.38,73.38,73.38
FIIs,2.25,2.92,4.31,4.52,3.61,3.21,2.92,3.88,3.53,4.24,5.82,7.26
DIIs,9.9,9.55,14.65,15.82,15.46,16.26,16.4,15.9,15.97,15.63,15.18,13.96
Public,6.44,6.11,7.65,6.27,7.55,7.13,7.3,6.83,7.13,6.76,5.62,5.4
No. of Shareholders,497910.0,516202.0,577992.0,617238.0,705599.0,692229.0,713027.0,726167.0,715785.0,695996.0,638639.0,626189.0
