line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,6344.0,9346.0,2575.0,-11120.0,18237.0,-5289.0,59118.0,919.0,-39978.0,15046.0,60669.0,7942.0
Cash from Investing Activity,-1104.0,-443.0,-476.0,-487.0,-745.0,-445.0,-1116.0,-1429.0,-1156.0,-1750.0,-2437.0,-2707.0
Cash from Financing Activity,-1464.0,-806.0,124.0,2865.0,-1185.0,7792.0,290.0,4035.0,445.0,-3834.0,-3506.0,-4795.0
Net Cash Flow,3776.0,8096.0,2224.0,-8743.0,16307.0,2059.0,58291.0,3525.0,-40689.0,9462.0,54725.0,440.0
Free Cash Flow,5530.0,8976.0,2195.0,-11580.0,17631.0,-5627.0,58195.0,98.0,-40591.0,13793.0,61830.0,6652.0
CFO/OP,24.0,41.0,17.0,-61.0,94.0,-30.0,226.0,17.0,-83.0,28.0,86.0,12.0
