line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,96.38,96.38,96.38,96.38,96.38,96.38,96.38,94.61,94.61,94.61,92.44,92.44
FIIs,0.09,0.15,0.03,0.05,0.05,0.04,0.02,0.22,0.08,0.31,0.35,0.43
DIIs,1.33,1.33,1.29,1.29,1.3,1.3,1.3,2.59,2.37,2.3,4.26,4.28
Public,2.2,2.13,2.28,2.28,2.27,2.29,2.3,2.58,2.94,2.78,2.93,2.85
No. of Shareholders,510387.0,668177.0,727348.0,1006185.0,996568.0,977592.0,977917.0,977863.0,1008128.0,988551.0,981829.0,968298.0
