line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97,63.97
FIIs,12.29,12.39,12.27,12.4,11.45,9.87,8.9,8.98,8.08,8.71,9.84,9.69
DIIs,15.77,15.74,15.75,16.04,15.77,16.35,17.86,17.97,18.79,18.93,18.72,18.92
Government,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.08,0.08,0.08
Public,7.7,7.64,7.76,7.32,8.55,9.56,9.01,8.83,8.89,8.3,7.37,7.33
No. of Shareholders,1239958.0,1270480.0,1289443.0,1329618.0,1411266.0,1711548.0,1693917.0,1689797.0,1631562.0,1565743.0,1477398.0,1459934.0
