line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,73.15,73.15,73.15,73.15,73.15,70.08,70.08,70.08,70.08,70.08,70.08,70.08
FIIs,1.82,2.65,3.1,4.82,5.51,8.42,5.7,5.71,5.52,5.67,5.93,6.39
DIIs,13.44,13.8,13.74,12.37,10.76,11.61,14.31,14.67,15.06,15.54,16.09,16.05
Public,11.57,10.41,10.0,9.67,10.57,9.89,9.91,9.54,9.34,8.7,7.91,7.48
No. of Shareholders,2030100.0,2083546.0,2163625.0,2353625.0,2529283.0,2579491.0,2640520.0,2653665.0,2574693.0,2455484.0,2309003.0,2222889.0
