line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,2422.0,4399.0,2983.0,1002.0,1913.0
Cash from Investing Activity,106.0,-214.0,-67.0,-275.0,-680.0
Cash from Financing Activity,3266.0,-1637.0,-336.0,-430.0,5870.0
Net Cash Flow,5794.0,2548.0,2580.0,297.0,7102.0
Free Cash Flow,2258.0,4189.0,2701.0,703.0,1576.0
CFO/OP,43.0,60.0,27.0,8.0,13.0
