line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,26297.0,14477.0,77406.0,-96508.0,29556.0,23929.0,89919.0,57695.0,-86014.0,21632.0,45484.0,38097.0
Cash from Investing Activity,-3424.0,-2747.0,-4572.0,13053.0,220.0,-555.0,-3670.0,-2652.0,-966.0,-3476.0,-3387.0,9240.0
Cash from Financing Activity,-1553.0,4348.0,-4196.0,5547.0,448.0,5430.0,7143.0,-3845.0,6386.0,-9896.0,-10737.0,-3427.0
Net Cash Flow,21320.0,16078.0,68638.0,-77908.0,30223.0,28803.0,93392.0,51198.0,-80593.0,8260.0,31361.0,43910.0
Free Cash Flow,22848.0,10701.0,72982.0,-89906.0,26550.0,20864.0,86091.0,54644.0,-86014.0,17457.0,39847.0,29734.0
CFO/OP,30.0,22.0,93.0,-148.0,43.0,40.0,110.0,72.0,-47.0,27.0,33.0,32.0
