line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-1083.0,2904.0,7498.0,-1723.0,-10842.0,693.0,2447.0,6896.0,-1440.0,11581.0,7628.0,-11336.0
Cash from Investing Activity,-151.0,-151.0,-99.0,-134.0,-106.0,-100.0,-169.0,-300.0,-175.0,-260.0,-495.0,-506.0
Cash from Financing Activity,1885.0,-186.0,-77.0,1100.0,4220.0,698.0,217.0,378.0,228.0,461.0,4750.0,-2607.0
Net Cash Flow,651.0,2567.0,7322.0,-758.0,-6729.0,1292.0,2495.0,6974.0,-1387.0,11783.0,11883.0,-14449.0
Free Cash Flow,-1234.0,2753.0,7399.0,-1858.0,-10968.0,584.0,2258.0,6594.0,-1617.0,11305.0,7112.0,-11742.0
CFO/OP,-12.0,38.0,140.0,-56.0,-1058.0,11.0,48.0,120.0,-15.0,97.0,49.0,-52.0
