line_item,Mar 2002,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,4949.0,5539.0,-13655.0,-1119.0,2840.0,4780.0
Cash from Investing Activity,,-46.0,-49.0,-560.0,-359.0,-579.0,-639.0
Cash from Financing Activity,,1813.0,479.0,-1916.0,-528.0,144.0,-138.0
Net Cash Flow,,6716.0,5969.0,-16130.0,-2006.0,2405.0,4003.0
Free Cash Flow,,4903.0,5490.0,-14214.0,-1478.0,2261.0,4141.0
CFO/OP,,77.0,84.0,-138.0,-4.0,5.0,27.0
