line_item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93,62.93
FIIs,8.91,10.19,11.21,10.57,11.91,11.26,11.1,10.54,11.38,11.89,14.61,14.24
DIIs,15.93,14.91,14.29,14.39,11.19,11.65,11.71,11.85,11.41,12.23,10.47,10.91
Public,12.21,11.96,11.55,12.1,13.94,14.17,14.24,14.67,14.27,12.92,11.98,11.93
No. of Shareholders,635556.0,638401.0,644770.0,759083.0,1193267.0,1639363.0,1748708.0,1799432.0,1699715.0,1614081.0,1530698.0,1502130.0
